11.666,6.736,17.543,10.341,23.866,16.147,34.294,Agtron 55
11.23,6.396,17.19,9.995,23.501,15.494,33.646,Agtron 55
11.572,6.581,17.276,10.267,23.672,16.041,34.097,Agtron 55
11.1,6.285,17.04,9.88,23.426,15.333,33.581,Agtron 55
11.244,6.389,17.145,9.977,23.387,15.584,33.573,Agtron 55
11.539,6.523,17.374,10.279,23.861,15.921,34.154,Agtron 55
11.516,6.489,17.246,10.217,23.752,15.982,34.203,Agtron 55
12.894,6.94,17.873,11.741,26.71,17.427,37.72,Agtron 65
13.389,7.199,18.13,12.181,27.121,18.121,38.327,Agtron 65
13.815,7.405,18.347,12.588,27.579,18.662,38.96,Agtron 65
13.718,7.292,18.272,12.475,27.471,18.606,38.895,Agtron 65
13.46,7.288,18.347,12.269,27.372,18.152,38.507,Agtron 65
13.365,7.184,18.165,12.169,27.173,18.069,38.355,Agtron 65
13.715,7.385,18.417,12.446,27.322,18.618,38.756,Agtron 65
13.51,7.24,18.21,12.297,27.247,18.28,38.468,Agtron 65
13.643,7.359,18.419,12.432,27.584,18.415,38.857,Agtron 65
13.186,7.115,18.094,11.984,26.958,17.858,38.164,Agtron 65
13.13,7.13,18.199,11.946,26.966,17.74,38.017,Agtron 65
13.203,7.132,18.175,12.011,26.953,17.858,38.06,Agtron 65
12.763,7.0,18.059,11.616,26.561,17.212,37.453,Agtron 65
12.919,7.033,18.065,11.755,26.728,17.447,37.719,Agtron 65
13.031,7.163,18.296,11.934,27.086,17.418,37.788,Agtron 65
12.699,6.96,17.895,11.611,26.276,17.017,36.725,Agtron 65
13.383,7.343,18.446,12.273,27.396,17.86,38.158,Agtron 65
13.52,7.362,18.292,12.389,27.206,18.08,37.942,Agtron 65
13.293,7.282,18.433,12.17,27.338,17.786,38.183,Agtron 65
12.762,6.973,17.856,11.658,26.312,17.131,36.854,Agtron 65
13.017,7.123,18.189,11.915,26.963,17.418,37.711,Agtron 65
12.887,7.054,17.964,11.788,26.526,17.261,37.057,Agtron 65
12.911,7.083,18.151,11.798,26.785,17.313,37.478,Agtron 65
12.972,7.133,18.121,11.851,26.647,17.392,37.3,Agtron 65
13.07,7.161,18.237,11.972,27.053,17.472,37.765,Agtron 65
13.131,7.202,17.951,12.005,26.601,17.593,37.251,Agtron 65
13.291,7.35,18.396,12.213,27.394,17.664,37.994,Agtron 65
12.808,7.12,17.996,11.732,26.452,17.082,36.797,Agtron 65
14.043,7.565,18.968,12.899,29.604,18.758,41.505,Agtron 75
13.804,7.372,18.617,12.679,29.153,18.465,40.989,Agtron 75
13.843,7.508,18.875,12.719,29.343,18.463,41.151,Agtron 75
13.791,7.496,18.829,12.637,29.089,18.456,40.979,Agtron 75
13.913,7.54,18.915,12.734,29.134,18.659,41.082,Agtron 75
13.977,7.601,19.0,12.792,29.377,18.736,41.468,Agtron 75
13.872,7.509,18.92,12.697,29.068,18.602,40.989,Agtron 75
13.666,7.416,18.722,12.51,28.883,18.316,40.821,Agtron 75
13.962,7.592,18.978,12.793,29.217,18.684,41.162,Agtron 75
14.049,7.651,19.117,12.89,29.438,18.764,41.322,Agtron 75
13.666,7.387,18.688,12.49,28.772,18.367,40.7,Agtron 75
13.891,7.461,18.876,12.774,29.456,18.534,41.221,Agtron 75
14.215,7.657,19.146,13.074,29.728,18.954,41.499,Agtron 75
14.061,7.586,19.031,12.919,29.534,18.771,41.433,Agtron 75
7.608,6.77,18.357,7.095,18.747,8.93,22.108,Agtron 25
7.503,6.822,18.777,6.987,18.836,8.771,21.99,Agtron 25
7.409,6.72,18.655,6.923,18.752,8.624,21.759,Agtron 25
7.782,7.085,19.271,7.265,19.269,9.058,22.363,Agtron 25
7.689,7.008,19.132,7.182,19.179,8.941,22.296,Agtron 25
7.407,6.77,18.805,6.907,18.756,8.63,21.76,Agtron 25
7.629,5.262,14.766,6.994,17.98,9.778,23.401,Agtron 25
7.686,5.233,14.609,7.035,17.983,9.899,23.613,Agtron 25
